ID_Vendedor,Nome_Vendedor,Equipe
V001,Dr. Raul Farias,Equipe Centro
V002,Davi Lucca Cavalcanti,Equipe Sul
V003,Alícia Ribeiro,Equipe Norte
V004,Eduardo Ramos,Equipe Centro
V005,Dr. Enzo das Neves,Equipe Sul
V006,Rafael da Mota,Equipe Centro
V007,Helena Freitas,Equipe Norte
V008,Vitor Freitas,Equipe Sul
V009,Dr. Renan Teixeira,Equipe Norte
V010,Sr. Carlos Eduardo Ferreira,Equipe Centro
V011,Nathan Ferreira,Equipe Sul
V012,Calebe Pinto,Equipe Centro
V013,Dr. Leandro Silva,Equipe Centro
V014,João Pedro da Mota,Equipe Sul
V015,Augusto Pinto,Equipe Centro
V016,Luiz Henrique Teixeira,Equipe Norte
V017,Rebeca da Paz,Equipe Centro
V018,Dr. Bernardo Melo,Equipe Norte
V019,Gabrielly Costa,Equipe Norte
V020,Sra. Lívia Lima,Equipe Centro
V021,Júlia Martins,Equipe Norte
V022,Pietra Gonçalves,Equipe Sul
V023,Ana da Mota,Equipe Norte
V024,Natália Nascimento,Equipe Norte
V025,Sofia da Luz,Equipe Norte
V026,Maria Fernanda Jesus,Equipe Sul
V027,Maria Clara Almeida,Equipe Sul
V028,Gustavo Henrique da Rocha,Equipe Sul
V029,Valentina Martins,Equipe Centro
V030,Laura Pires,Equipe Sul
V031,Clara Silva,Equipe Norte
V032,Vitória da Cunha,Equipe Sul
V033,Ana Júlia Gomes,Equipe Sul
V034,Mirella Melo,Equipe Norte
V035,Vitor Gabriel Duarte,Equipe Centro
V036,Gabriela das Neves,Equipe Sul
V037,Danilo Araújo,Equipe Centro
V038,Felipe Ribeiro,Equipe Centro
V039,Stella Cardoso,Equipe Centro
V040,Kamilly da Mota,Equipe Norte
V041,Dra. Joana Sales,Equipe Centro
V042,Elisa da Conceição,Equipe Centro
V043,Olivia Almeida,Equipe Norte
V044,Yago Pereira,Equipe Centro
V045,Davi Silveira,Equipe Centro
V046,Ana Beatriz Farias,Equipe Norte
V047,Lorenzo Cunha,Equipe Norte
V048,Natália Souza,Equipe Sul
V049,Maria Vitória Lopes,Equipe Sul
V050,Mariana Santos,Equipe Sul
